Source,Target,Weight
#conservative,#conservativenews,101
#conservative,#trump,168
#conservative,#republican,318
#conservative,#commentary,9
#conservative,#conversation,8
#conservative,#discussion,8
#conservative,#libertarian,20
#conservative,#news,25
#conservative,#politics,48
#conservative,#conservativenewsdaily,7
#conservative,#staywoke,7
#conservative,#america,35
#conservative,#progressive,11
#conservative,#liberal,45
#conservative,#republicansaredestroyingamerica,3
#conservative,#forward,6
#conservative,#change,7
#conservative,#democrat,55
#conservative,#biden,29
#conservative,#trumpsucks,1
#conservative,#sd25,2
#conservative,#christianconservative,2
#conservative,#leadright,3
#conservative,#keeptexasred,2
#conservative,#gop,48
#conservative,#maga,73
#conservative,#ccot,2
#conservative,#tcot,2
#conservative,#stopthesteal,1
#conservative,#reparations,2
#conservative,#republicans,39
#conservative,#talkradio,3
#conservative,#talkshow,3
#conservative,#podcast,2
#conservative,#bigtech,2
#conservative,#freespeech,4
#conservative,#rondesantis,1
#conservative,#joshhawley,1
#conservative,#soundcloud,3
#conservative,#np,3
#conservative,#atheist,5
#conservative,#atheism,4
#conservative,#bible,3
#conservative,#religion,2
#conservative,#christian,18
#conservative,#sharialaw,1
#conservative,#sharia,1
#conservative,#inflation,2
#conservative,#donaldtrump,27
#conservative,#usa,33
#conservative,#makeamericagreatagain,9
#conservative,#trumptrain,6
#conservative,#kag,11
#conservative,#freedom,23
#conservative,#keepamericagreat,5
#conservative,#americafirst,11
#conservative,#conservativememes,6
#conservative,#rightwing,6
#conservative,#draintheswamp,3
#conservative,#interview,4
#conservative,#candidate,5
#conservative,#midterms,4
#conservative,#texas,12
#conservative,#bidenworstpresidentever,3
#conservative,#forwardtogetherforward,1
#conservative,#acab,2
#conservative,#jesus,6
#conservative,#christianity,13
#conservative,#capitalism,3
#conservative,#catholic,3
#conservative,#reublican,1
#conservative,#jesuschrist,2
#conservative,#unitedstates,5
#conservative,#president,6
#conservative,#january6thinsurrection,2
#conservative,#gryphoneditions,1
#conservative,#leatherbound,1
#conservative,#radio,2
#conservative,#kudos,1
#conservative,#eib,1
#conservative,#elrushbo,1
#conservative,#democracy,6
#conservative,#constitution,2
#conservative,#kansas,1
#conservative,#democrats,29
#conservative,#california,6
#conservative,#illinois,1
#conservative,#tennessee,1
#conservative,#florida,5
#conservative,#pennsylvania,1
#conservative,#senator,3
#conservative,#press,1
#conservative,#assistant,1
#conservative,#washingtondc,1
#conservative,#counselortraining,1
#conservative,#students,1
#conservative,#academicbias,1
#conservative,#survey,2
#conservative,#surveycircle,2
#conservative,#patriotbrief,9
#conservative,#patriot,33
#conservative,#thepatriotbrief,9
#conservative,#conservativebrief,8
#conservative,#theconservativebrief,8
#conservative,#powerhousenews,9
#conservative,#whitesupremacyisterrorism,1
#conservative,#ehitesupremacistslovetrump,1
#conservative,#whitesupremacists,2
#conservative,#trumpsupporters,3
#conservative,#trump2024,12
#conservative,#mondaythoughts,1
#conservative,#republicanmemes,3
#conservative,#catholicchurch,1
#conservative,#superbowl,3
#conservative,#superbowlsunday,2
#conservative,#olympics,3
#conservative,#beijing2022,2
#conservative,#evangelicals,3
#conservative,#omicronvirus,1
#conservative,#tucker,2
#conservative,#alexjones,2
#conservative,#superbowl2022,1
#conservative,#misinformation,1
#conservative,#olympia2022,2
#conservative,#christians,2
#conservative,#omicron,2
#conservative,#txlege,1
#conservative,#texasfirst,1
#conservative,#texansfirst,1
#conservative,#texasandtexansfirst,1
#conservative,#politicians,7
#conservative,#trumprally,2
#conservative,#catholictwitter,1
#conservative,#olympic2022,1
#conservative,#exvangelical,2
#conservative,#bibleverse,1
#conservative,#jesuslovesyou,1
#conservative,#superbowllvi,1
#conservative,#olympicwintergames,1
#conservative,#cia,1
#conservative,#fisa,1
#conservative,#governmentspying,1
#conservative,#j6committee,1
#conservative,#traitors,1
#conservative,#tfg,1
#conservative,#police,5
#conservative,#spotify,3
#conservative,#liberty,8
#conservative,#liberals,3
#conservative,#scamdemic,1
#conservative,#wakeup,2
#conservative,#congress,9
#conservative,#wisconsin,5
#conservative,#rightsideruffians,1
#conservative,#alpolitics,1
#conservative,#lockhimup,1
#conservative,#blm,10
#conservative,#coronavirus,2
#conservative,#dumptrump,2
#conservative,#bernie,2
#conservative,#obama,2
#conservative,#memes,9
#conservative,#bhfyp,4
#conservative,#votebluenomatterwho,2
#conservative,#charlotte,1
#conservative,#northcarolina,1
#conservative,#protest,1
#conservative,#maryland,1
#conservative,#pr,1
#conservative,#caribbean,1
#conservative,#canada,6
#conservative,#tx,1
#conservative,#mexico,1
#conservative,#ca,1
#conservative,#or,1
#conservative,#wa,1
#conservative,#ak,1
#conservative,#hi,1
#conservative,#pacificrim,1
#conservative,#independent,5
#conservative,#radical,1
#conservative,#equality,5
#conservative,#trans,5
#conservative,#feminist,5
#conservative,#feminism,5
#conservative,#transgender,7
#conservative,#covid,16
#conservative,#covid19,7
#conservative,#prolife,7
#conservative,#prochoice,5
#conservative,#abortion,5
#conservative,#socialist,5
#conservative,#socialism,8
#conservative,#leftist,7
#conservative,#communist,6
#conservative,#communism,5
#conservative,#joebiden,9
#conservative,#blockwalk,1
#conservative,#campaign,1
#conservative,#americans,4
#conservative,#deathcult,1
#conservative,#election,13
#conservative,#fashion,3
#conservative,#love,6
#conservative,#maga2020,1
#conservative,#meme,3
#conservative,#repost,1
#conservative,#trump2020,1
#conservative,#trumpfamily,1
#conservative,#trumpforpresident,1
#conservative,#trumpmemes,2
#conservative,#trumpnation,1
#conservative,#trumppence,1
#conservative,#trumpcrimefamilyforprison,1
#conservative,#politicalmemes,7
#conservative,#political,7
#conservative,#indianpolitics,2
#conservative,#rahulgandhi,2
#conservative,#bjp,5
#conservative,#qanon,1
#conservative,#progressives,1
#conservative,#westvirginia,2
#conservative,#democratic,1
#conservative,#joemanchin,1
#conservative,#marcorubio,3
#conservative,#bidenadministration,2
