Id,Label,Count,Sentiment,Political,Alignment
#democrats,#democrats,12279,-0.23212691738375762,-0.9996032935900936,0.23203483114771967
#republicans,#republicans,9581,-0.2852397333099303,0.9703240068194859,-0.27677496092941317
#republican,#republican,7615,0.12732955983953492,1.0,0.12732955983953492
#gop,#gop,4863,0.18952889200539164,0.34927439132684024,0.0661975883940336
#trump,#trump,4068,-0.27619401998685555,0.2523252127150392,-0.06969071484380512
#maga,#maga,3527,-0.2999472593277442,0.16597299476252203,-0.049783144901436524
#democrat,#democrat,3197,-0.2258998618323003,-1.0,0.2258998618323003
#biden,#biden,2570,-0.30037104162338024,-0.3177380461083245,0.09543930787293506
#conservative,#conservative,1837,-0.11695743634402925,0.3864892418710713,-0.04520279090378795
#dnc,#dnc,1760,0.5208646657242171,0.5116734071157133,0.2665125981572972
#democratic,#democratic,1754,0.5279366474898557,0.5238812504572753,0.2765761110492074
#usa,#usa,1278,-0.2816435387898983,-0.12767810785518216,0.035959714122331815
#politics,#politics,1257,-0.17125490312882807,-0.14241952499596713,0.02439004195683806
#america,#america,1229,-0.31625272361074214,-0.20665967010249447,0.06535668353041134
#breakingnews,#breakingnews,1107,-0.19427604012108898,0.4413052180931955,-0.08573503025591957
#joebiden,#joebiden,998,-0.286303754218066,-0.26594418906441564,0.07614081974162132
#conservativenews,#conservativenews,946,-0.19842508877719262,0.5185244319015663,-0.10288825643321166
#democracy,#democracy,887,-0.11513924710203884,-0.264460009498051,0.03044972638220363
#vote,#vote,849,0.10910547516703807,-0.2093051507454147,-0.022836337926987003
#liberals,#liberals,730,-0.1763045310570118,-0.34020913272994313,0.059980411607265305
#conservatives,#conservatives,675,-0.21287624643509737,0.1348973478090266,-0.028716441055635387
#news,#news,613,-0.1625620724714071,-0.13883351310039269,0.022569063618086083
#cnn,#cnn,602,-0.2983183766055955,-0.33581706618331686,0.1001804020202609
#foxnews,#foxnews,529,-0.3288675648894168,-0.2509549762323954,0.08253095193042934
#donaldtrump,#donaldtrump,517,-0.29808220018270803,0.2137032686861114,-0.0637011405161925
#americans,#americans,477,-0.3842201936815715,-0.05302567215701481,0.020373534026263743
#democratsaredestroyingamerica,#democratsaredestroyingamerica,472,-0.34537838498313606,-0.40174520016354515,0.13875410840721195
#women,#women,464,-0.2789562597031768,0.18867102922869428,-0.0526309646279853
