Source,Target,Weight
nothing,like,52
nothing,future,6
nothing,republican,114
nothing,want,38
nothing,u,26
nothing,also,6
nothing,republicans,197
nothing,continue,19
nothing,much,6
nothing,get,55
nothing,away,8
nothing,trump,104
nothing,communist,6
nothing,plan,54
nothing,talk,20
nothing,long,6
nothing,year,25
nothing,complain,6
nothing,biden,80
nothing,make,26
nothing,country,31
nothing,matter,14
nothing,follow,8
nothing,democrats,150
nothing,tax,98
nothing,return,34
nothing,release,28
nothing,law,15
nothing,office,7
nothing,today,10
nothing,pass,13
nothing,give,23
nothing,money,33
nothing,every,21
nothing,world,6
nothing,secure,10
nothing,border,48
nothing,come,12
nothing,say,51
nothing,burger,19
nothing,report,20
nothing,reveal,14
nothing,income,16
nothing,pay,46
nothing,irs,20
nothing,audit,19
nothing,see,41
nothing,sure,11
nothing,take,30
nothing,best,6
nothing,current,6
nothing,dems,16
nothing,another,17
nothing,need,26
nothing,wake,9
nothing,realize,7
nothing,liar,6
nothing,democracy,8
nothing,way,17
nothing,everything,12
nothing,do,36
nothing,illegal,11
nothing,look,12
nothing,along,6
nothing,truth,9
nothing,lie,23
nothing,right,24
nothing,one,29
nothing,show,11
nothing,tell,19
nothing,amp,31
nothing,shit,13
nothing,go,50
nothing,president,20
nothing,let,10
nothing,big,15
nothing,corruption,6
nothing,democrat,117
nothing,still,12
nothing,political,13
nothing,people,51
nothing,person,9
nothing,ever,12
nothing,try,10
nothing,time,34
nothing,fuck,13
nothing,rich,11
nothing,power,10
nothing,ukraine,18
nothing,child,7
nothing,sick,10
nothing,ppl,7
nothing,oversight,47
nothing,admin,47
nothing,green,45
nothing,push,51
nothing,benefit,50
nothing,china,46
nothing,table,45
nothing,mcconnell,20
nothing,help,26
nothing,wrong,18
nothing,first,10
nothing,gun,6
nothing,happen,21
nothing,yet,8
nothing,find,30
nothing,ball,6
nothing,change,35
nothing,fox,10
nothing,news,16
nothing,actually,11
nothing,expect,7
nothing,fbi,29
nothing,lol,11
nothing,group,8
nothing,corrupt,20
nothing,government,23
nothing,use,16
nothing,keep,18
nothing,mccarthy,8
nothing,hard,12
nothing,work,14
nothing,americans,16
nothing,issue,7
nothing,stand,9
nothing,always,10
nothing,would,21
nothing,stop,27
nothing,fight,13
nothing,support,16
nothing,think,16
nothing,even,17
nothing,side,6
nothing,care,17
nothing,mean,12
nothing,leave,23
nothing,love,9
nothing,new,15
nothing,state,10
nothing,voter,7
nothing,absolutely,15
nothing,else,10
nothing,senate,20
nothing,gop,18
nothing,house,30
nothing,omnibus,17
nothing,threat,8
nothing,next,12
nothing,hope,6
nothing,call,8
nothing,twitter,16
nothing,anyone,8
nothing,vote,48
nothing,party,49
nothing,thing,18
nothing,hate,12
nothing,problem,14
nothing,election,15
nothing,blame,6
nothing,midterm,6
nothing,cause,6
nothing,since,9
nothing,know,35
nothing,read,16
nothing,scheme,7
nothing,pelosi,7
nothing,case,7
nothing,move,8
nothing,claim,6
nothing,america,25
nothing,fail,11
nothing,job,8
nothing,fact,11
nothing,security,8
nothing,word,8
nothing,co,8
nothing,risk,6
nothing,old,7
nothing,many,7
nothing,bad,11
nothing,must,8
nothing,later,6
nothing,control,18
nothing,2020,7
nothing,congress,8
nothing,really,7
nothing,billion,6
nothing,dollar,7
nothing,conservative,7
nothing,american,30
nothing,destroy,6
nothing,day,7
nothing,2024,6
nothing,usa,7
nothing,entire,6
nothing,open,14
nothing,whine,6
nothing,good,12
nothing,trust,6
nothing,action,7
nothing,coward,6
nothing,already,8
nothing,last,11
nothing,politician,10
nothing,great,7
nothing,nation,7
nothing,mitch,15
nothing,win,8
nothing,bill,49
nothing,social,6
nothing,system,6
nothing,senator,7
nothing,spend,12
nothing,bunch,6
nothing,blah,15
nothing,little,9
nothing,anything,11
nothing,crime,10
nothing,never,6
nothing,please,10
nothing,except,10
nothing,via,7
nothing,well,13
nothing,fake,9
nothing,inflation,7
nothing,put,10
nothing,massive,6
nothing,spending,11
nothing,us,8
nothing,live,9
nothing,run,7
nothing,turn,7
nothing,believe,7
nothing,million,10
nothing,include,8
nothing,joe,8
nothing,federal,8
nothing,feel,6
nothing,hunt,6
nothing,protect,6
nothing,medium,8
nothing,mouth,6
nothing,crisis,7
nothing,leader,6
nothing,learn,7
nothing,750,6
nothing,ole,6
nothing,left,7
nothing,hide,9
nothing,rule,6
nothing,night,7
nothing,opposition,8
nothing,two,7
nothing,lose,9
nothing,evil,8
nothing,constituent,7
nothing,constitution,6
nothing,la,6
like,hot,7
like,drive,20
like,line,9
like,future,9
like,republican,395
like,want,101
like,u,66
like,mitch,63
like,mcconnell,68
like,democrat,266
like,part,12
like,trump,192
like,good,31
like,republicans,459
like,front,8
like,ukraine,74
like,say,136
like,bad,42
like,thing,71
like,zelensky,19
like,reason,23
like,make,101
like,look,99
like,dems,36
like,stop,53
like,leave,29
like,base,10
like,clear,8
like,set,7
like,feel,36
like,year,50
like,real,33
like,man,19
like,know,71
like,wake,7
like,liberal,32
like,vote,127
like,dumb,10
like,start,33
like,war,36
like,public,17
like,school,10
like,education,6
like,etc,13
like,keep,46
like,voter,33
like,think,97
like,kid,17
like,go,127
like,narrative,6
like,democrats,337
like,release,24
like,report,34
like,tax,121
like,return,35
like,reveal,6
like,income,10
like,pay,40
